city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Shanghai,CN,31.22,121.46,24874500,False,31,29,22.400000000000002,0.0,10.0,100.0,69.6,9.2,24.0,2.8000000000000003,12.0,100.0,69.6,26.0
Pékin,CN,39.91,116.4,18960744,False,66,64,40.0,43.2,37.2,0.0,8.0,17.2,41.199999999999996,41.199999999999996,37.2,0.0,8.0,44.4
Shenzhen,CN,22.55,114.07,17494398,False,74,68,36.0,0.0,17.599999999999998,12.8,0.0,21.6,44.0,0.0,19.6,13.600000000000001,0.0,39.6
Canton,CN,23.12,113.25,16096724,False,47,43,45.6,0.0,16.400000000000002,60.4,68.0,21.6,53.6,0.0,18.4,70.0,68.0,40.0
Kinshasa,CD,-4.33,15.31,16000000,False,56,52,56.00000000000001,0.0,41.199999999999996,0.0,57.199999999999996,30.8,61.6,0.0,43.6,0.0,57.199999999999996,52.0
Istanbul,TR,41.01,28.95,15701602,False,69,62,10.0,29.2,44.0,4.8,0.0,33.2,12.4,33.6,48.4,4.8,0.0,53.6
Lagos,NG,6.45,3.4,15388000,False,46,40,68.4,0.0,40.400000000000006,49.6,48.8,10.8,76.4,0.0,40.400000000000006,56.00000000000001,48.8,25.6
Hô Chi Minh Ville,VN,10.82,106.63,14002598,False,37,23,72.0,0.0,45.6,76.0,73.2,22.8,82.0,0.0,45.6,94.39999999999999,73.2,40.400000000000006
Chengdu,CN,30.67,104.07,13568357,False,85,73,16.0,10.0,14.000000000000002,0.0,0.4,20.0,19.6,14.799999999999999,16.8,0.0,0.4,40.0
Lahore,PK,31.56,74.35,13004135,False,40,39,62.4,70.39999999999999,75.2,0.0,43.6,16.400000000000002,67.2,70.8,75.2,0.0,43.6,35.199999999999996
Mumbai,IN,19.07,72.88,12691836,False,49,44,69.19999999999999,0.0,47.599999999999994,47.599999999999994,0.0,11.600000000000001,76.0,0.0,47.599999999999994,50.8,0.0,27.6
São Paulo,BR,-23.55,-46.64,12400232,False,87,78,2.4,0.0,14.799999999999999,0.0,0.0,20.4,4.3999999999999995,0.0,16.0,0.0,0.0,36.8
Mexico,MX,19.43,-99.13,12294193,False,56,49,1.6,57.199999999999996,59.199999999999996,0.0,45.6,30.4,3.2,63.6,67.2,0.0,45.6,62.0
Karâchi,PK,24.86,67.01,11624219,False,27,25,84.8,100.0,19.6,20.8,7.6,19.6,92.0,100.0,20.0,22.0,7.6,34.0
Tianjin,CN,39.14,117.18,11090314,False,21,20,37.6,46.800000000000004,38.800000000000004,100.0,91.2,12.8,37.6,42.8,37.2,100.0,91.2,42.0
Delhi,IN,28.65,77.23,11034555,False,44,43,63.6,51.6,70.0,0.0,55.2,9.6,68.0,52.0,70.0,0.0,55.2,25.2
Wuhan,CN,30.58,114.27,10392693,False,46,45,31.6,0.0,1.6,0.0,86.0,8.799999999999999,31.6,0.0,2.8000000000000003,0.0,86.0,25.2
Moscou,RU,55.75,37.62,10381222,False,69,55,33.2,0.0,5.2,0.0,23.200000000000003,45.2,30.4,0.0,6.4,0.0,23.200000000000003,70.8
Dacca,BD,23.71,90.41,10356500,False,23,22,69.19999999999999,0.0,31.6,100.0,86.8,4.8,76.8,0.0,32.800000000000004,100.0,86.8,18.0
Séoul,KR,37.57,126.98,10349312,False,69,64,31.2,0.0,4.8,13.600000000000001,42.8,25.6,32.0,0.0,5.6000000000000005,13.600000000000001,42.8,49.6
